wavelength,k_ext,Av,Ak
0.1121752,42067.29391,2.903934757,15.98496598
0.1122864,42007.96361,2.899839145,15.96242132
0.1123976,41949.61891,2.895811569,15.94025118
0.112509,41891.42721,2.891794555,15.91813917
0.1126205,41833.39801,2.887788759,15.89608891
0.1127321,41775.53275,2.88379428,15.87410094
0.1128438,41717.8378,2.879811557,15.85217769
0.1129557,41660.31809,2.875840931,15.83032103
0.1130676,41602.97679,2.871882621,15.80853216
0.1131796,41545.81739,2.867936867,15.78681241
0.1132918,41488.84997,2.864004367,15.76516562
0.113404,41432.0713,2.860084895,15.74359054
0.1135164,41375.81863,2.856201734,15.72221533
0.1136289,41321.65433,2.852462734,15.70163368
0.1137415,41267.62962,2.848733371,15.68110507
0.1138542,41213.7408,2.845013388,15.66062809
0.113967,41159.99927,2.841303572,15.64020708
0.11408,41106.40764,2.837604105,15.61984303
0.114193,41052.97134,2.83391536,15.59953801
0.1143062,40999.68789,2.830237166,15.57929107
0.1144195,40946.56837,2.826570288,15.55910642
0.1145328,40893.61746,2.82291505,15.53898583
0.1146463,40840.83454,2.819271408,15.51892908
0.1147599,40788.22423,2.815639681,15.49893792
0.1148737,40739.73656,2.812292544,15.48051331
0.1149875,40693.55255,2.809104429,15.46296405
0.1151014,40647.5204,2.805926797,15.44547249
0.1152155,40601.63576,2.802759349,15.42803699
0.1153297,40555.90794,2.799602725,15.41066107
0.1154439,40510.33267,2.796456632,15.39334313
0.1155583,40464.91115,2.793321153,15.37608361
0.1156729,40419.64659,2.790196509,15.35888373
0.1157875,40374.53676,2.787082545,15.34174264
0.1159022,40329.58397,2.783979423,15.32466122
0.1160171,40284.78923,2.78088721,15.30763987
0.116132,40241.51323,2.777899838,15.29119561
0.1162471,40201.89067,2.775164665,15.27613961
0.1163623,40162.3863,2.772437651,15.26112852
0.1164776,40122.99899,2.769718717,15.24616191
0.116593,40083.73283,2.767008147,15.23124133
0.1167086,40044.58262,2.76430558,15.21636482
0.1168242,40005.55193,2.761611265,15.20153372
0.11694,39966.64139,2.758925243,15.18674827
0.1170559,39927.85092,2.756247509,15.17200845
0.1171719,39889.17721,2.753577836,15.157313
0.117288,39850.6259,2.750916612,15.14266406
0.1174042,39812.19326,2.74826358,15.12806021
0.1175205,39773.91436,2.74562116,15.11351477
0.117637,39735.89945,2.742996965,15.09906966
0.1177536,39698.00022,2.740380754,15.0846685
0.1178703,39660.15127,2.737768015,15.07028644
0.1179871,39622.41269,2.735162894,15.05594632
0.118104,39584.79412,2.732566058,15.04165181
0.118221,39547.29112,2.7299772,15.02740121
0.1183382,39509.90406,2.727396345,15.01319466
0.1184554,39472.63517,2.724823647,14.99903302
0.1185728,39435.48251,2.722258973,14.98491554
0.1186903,39398.44234,2.719702064,14.97084081
0.1188079,39361.52172,2.717153408,14.95681151
0.1189257,39324.22449,2.714578754,14.9426391
0.1190435,39285.28628,2.711890822,14.92784314
0.1191615,39246.48029,2.709212017,14.91309742
0.1192795,39207.80908,2.706542516,14.89840292
0.1193977,39169.27123,2.703882222,14.88375909
0.1195161,39130.87095,2.701231424,14.86916754
0.1196345,39092.60161,2.698589664,14.85462574
0.119753,39054.46652,2.695957172,14.84013495
0.1198717,39016.46952,2.693334213,14.82569664
0.1199905,38978.60535,2.690720423,14.8113088
0.1201094,38940.87497,2.688115868,14.7969718
0.1202284,38903.7185,2.685550931,14.78285288
0.1203476,38868.0818,2.683090905,14.76931145
0.1204668,38832.56597,2.680639222,14.75581594
0.1205862,38797.165,2.678195469,14.74236408
0.1207057,38761.88259,2.675759899,14.72895727
0.1208253,38726.71589,2.673332317,14.71559443
0.120945,38691.66796,2.670912934,14.70227673
0.1210649,38656.73403,2.66850142,14.68900234
0.1211848,38621.92274,2.666098372,14.67577455
0.1213049,38587.22269,2.663703004,14.66258903
0.1214251,38552.64139,2.661315832,14.64944863
0.1215455,38518.17913,2.658936879,14.63635347
0.1216659,38484.78412,2.656631597,14.62366385
0.1217865,38452.23916,2.654384996,14.61129723
0.1219072,38419.79642,2.652145451,14.59896946
0.122028,38387.44285,2.649912061,14.58667556
0.1221489,38355.19114,2.647685704,14.57442038
0.1222699,38323.03845,2.64546618,14.56220282
0.1223911,38290.97952,2.64325313,14.55002089
0.1225124,38259.01444,2.641046559,14.53787462
0.1226338,38227.1533,2.638847161,14.52576784
0.1227553,38195.38881,2.636654437,14.51369779
0.1228769,38163.70892,2.634467551,14.50165989
0.1229987,38132.14009,2.632288333,14.48966419
0.1231206,38102.91017,2.630270571,14.47855724
0.1232426,38073.77479,2.628259336,14.46748622
0.1233647,38044.72871,2.626254265,14.45644913
0.123487,38015.75336,2.624254076,14.44543891
0.1236093,37986.84656,2.622258619,14.43445474
0.1237318,37958.0363,2.620269826,14.42350726
0.1238544,37929.29104,2.618285521,14.41258447
0.1239772,37900.60174,2.616305079,14.40168295
0.1241,37872.02924,2.614332699,14.39082581
0.124223,37843.51241,2.612364162,14.37998983
0.1243461,37815.04499,2.610399036,14.36917262
0.1244693,37786.69415,2.608441958,14.35839971
0.1245926,37758.95275,2.60652695,14.34785837
0.1247161,37731.43476,2.604627364,14.33740194
0.1248397,37704.02645,2.602735349,14.32698717
0.1249634,37676.65713,2.600846026,14.31658723
0.1250872,37649.28482,2.598956496,14.30618614
0.1252112,37622.04151,2.597075871,14.29583408
0.1253353,37594.83503,2.595197788,14.285496
0.1254595,37567.6517,2.593321305,14.27516673
0.1255838,37540.61114,2.591454675,14.26489171
0.1257082,37513.59092,2.58958945,14.25462441
0.1258328,37486.57883,2.587724787,14.24436021
0.1259575,37460.7325,2.585940597,14.23453898
0.1260823,37435.9847,2.584232239,14.22513517
0.1262073,37411.22257,2.582522892,14.21572591
0.1263323,37386.64933,2.580826584,14.20638844
0.1264575,37362.06355,2.57912941,14.19704619
0.1265828,37337.4521,2.577430465,14.1876942
0.1267083,37313.0472,2.575745777,14.17842069
0.1268338,37288.61132,2.574058952,14.16913541
0.1269595,37264.21189,2.572374642,14.15986397
0.1270853,37239.9032,2.570696596,14.15062702
0.1272112,37215.6297,2.569020979,14.14140344
0.1273373,37191.35631,2.56734537,14.1321799
0.1274635,37167.8629,2.565723604,14.12325274
0.1275898,37144.94415,2.564141506,14.11454395
0.1277162,37122.22811,2.562573402,14.10591218
0.1278428,37099.3494,2.560994068,14.0972186
0.1279695,37076.80736,2.559437976,14.08865295
0.1280963,37054.0437,2.557866584,14.08000309
0.1282232,37031.59991,2.556317274,14.07147477
0.1283503,37008.902,2.554750421,14.06284989
0.1284775,36986.57295,2.553209031,14.05436517
0.1286048,36963.93859,2.551646566,14.04576444
0.1287322,36941.67057,2.550109388,14.03730291
0.1288598,36919.96549,2.548611072,14.0290553
0.1289875,36899.78322,2.547217876,14.02138633
0.1291153,36879.17123,2.545795015,14.01355406
0.1292432,36859.06878,2.544407329,14.00591542
0.1293713,36838.51578,2.542988541,13.99810558
0.1294995,36818.50994,2.541607524,13.99050365
0.1296278,36798.00942,2.540192358,13.98271374
0.1297563,36778.06241,2.538815402,13.97513417
0.1298849,36757.61993,2.537404244,13.96736632
0.1300136,36737.75945,2.536033261,13.95981962
0.1301424,36717.36984,2.534625752,13.95207187
0.1302714,36697.56171,2.533258383,13.94454506
0.1304005,36678.46628,2.531940212,13.93728908
0.1305297,36660.26786,2.530683962,13.93037394
0.130659,36641.62866,2.529397285,13.92329131
0.1307885,36623.52906,2.528147858,13.91641372
0.1309181,36604.96256,2.526866199,13.90935872
0.1310478,36586.89241,2.525618804,13.90249232
0.1311777,36568.39388,2.524341837,13.89546315
0.1313077,36550.31223,2.523093648,13.88859238
0.1314378,36531.9346,2.521825027,13.88160915
0.1315681,36513.92244,2.520581635,13.87476478
0.1316984,36495.5645,2.519314374,13.86778903
0.1318289,36477.95767,2.518098962,13.86109869
0.1319596,36461.24567,2.516945321,13.85474837
0.1320903,36444.8424,2.515812992,13.84851537
0.1322212,36428.27311,2.514669202,13.84221927
0.1323522,36411.93822,2.513541594,13.83601225
0.1324834,36395.3708,2.512397933,13.82971687
0.1326147,36379.13639,2.51127726,13.82354803
0.1327461,36362.54961,2.510132263,13.81724529
0.1328776,36346.21107,2.509004402,13.81103688
0.1330093,36329.82051,2.50787295,13.8048087
0.1331411,36313.63018,2.506755321,13.79865661
0.1332731,36297.17618,2.505619489,13.79240433
0.1334051,36281.2429,2.504519604,13.78634991
0.1335373,36265.91143,2.503461262,13.78052417
0.1336696,36251.09727,2.50243863,13.774895
0.1338021,36235.81037,2.501383364,13.7690862
0.1339347,36220.90085,2.50035415,13.7634208
0.1340674,36205.81411,2.499312702,13.75768806
0.1342003,36190.94939,2.49828658,13.75203968
0.1343332,36175.89061,2.497247061,13.74631755
0.1344664,36161.11348,2.496226986,13.74070246
0.1345996,36146.03896,2.495186382,13.73497436
0.134733,36131.31155,2.494169738,13.72937815
0.1348665,36116.55635,2.493151176,13.72377139
0.1350001,36102.35065,2.492170547,13.71837343
0.1351339,36088.67235,2.491226324,13.71317587
0.1352678,36074.69105,2.490261185,13.70786318
0.1354019,36061.10463,2.489323305,13.70270054
0.1355361,36047.16005,2.488360701,13.6974018
0.1356704,36033.54523,2.487420861,13.69222836
0.1358048,36019.71627,2.486466237,13.68697355
0.1359394,36006.05649,2.485523293,13.68178303
0.1360741,35992.36114,2.484577893,13.676579
0.1362089,35978.64787,2.483631257,13.67136816
0.1363439,35965.20899,2.482703561,13.66626157
0.136479,35951.94708,2.481788083,13.66122224
0.1366142,35939.44379,2.480924972,13.65647117
